timestamp,light1,light2,light3,error1,error2,error3,left,right
1762808188.867,58,54,55,-23.000,-19.000,-20.000,18.20,41.80
1762808188.904,59,56,51,-24.000,-21.000,-16.000,-20.32,80.32
1762808188.945,58,55,50,-23.000,-20.000,-15.000,21.92,38.08
1762808188.982,52,56,52,-17.000,-21.000,-17.000,100.00,-78.40
1762808189.032,18,56,54,17.000,-21.000,-19.000,100.00,-100.00
1762808189.068,10,55,55,25.000,-20.000,-20.000,100.00,-100.00
1762808189.118,49,55,55,-14.000,-20.000,-20.000,-100.00,100.00
1762808189.157,56,55,9,-21.000,-20.000,26.000,-100.00,100.00
1762808189.192,58,55,2,-23.000,-20.000,33.000,-43.48,100.00
1762808189.229,57,53,2,-22.000,-18.000,33.000,24.88,35.12
1762808189.274,57,54,8,-22.000,-19.000,27.000,3.60,56.40
1762808189.330,57,54,38,-22.000,-19.000,-3.000,3.60,56.40
1762808189.373,53,56,49,-18.000,-21.000,-14.000,83.64,-23.64
1762808189.410,48,55,53,-13.000,-20.000,-18.000,100.00,-61.33
1762808189.447,43,55,52,-8.000,-20.000,-17.000,100.00,-68.15
1762808189.487,47,53,52,-12.000,-18.000,-17.000,-64.61,100.00
1762808189.526,58,55,11,-23.000,-20.000,24.000,-100.00,100.00
1762808189.560,58,56,2,-23.000,-21.000,33.000,2.40,57.60
1762808189.597,58,56,1,-23.000,-21.000,34.000,2.40,57.60
1762808189.640,57,54,33,-22.000,-19.000,2.000,22.26,37.74
1762808189.679,57,54,43,-22.000,-19.000,-8.000,3.60,56.40
1762808189.719,56,53,49,-21.000,-18.000,-14.000,24.67,35.33
1762808189.756,58,55,50,-23.000,-20.000,-15.000,-41.14,100.00
1762808189.800,59,56,54,-24.000,-21.000,-19.000,-17.05,77.05
1762808189.839,58,54,59,-23.000,-19.000,-24.000,22.63,37.37
1762808189.906,26,7,8,9.000,28.000,27.000,100.00,-100.00
1762808189.952,20,13,1,15.000,22.000,34.000,100.00,-91.65
1762808189.991,25,26,2,10.000,9.000,33.000,-60.12,100.00
1762808190.034,38,26,3,-3.000,9.000,32.000,-100.00,100.00
1762808190.100,15,4,1,20.000,31.000,34.000,100.00,-100.00
1762808190.138,2,3,0,33.000,32.000,35.000,100.00,-100.00
1762808190.181,4,12,1,31.000,23.000,34.000,30.01,29.99
1762808190.242,50,26,4,-15.000,9.000,31.000,-100.00,100.00
1762808190.281,54,25,5,-19.000,10.000,30.000,-75.11,100.00
1762808190.320,50,20,3,-15.000,15.000,32.000,93.65,-33.65
1762808190.361,46,17,2,-11.000,18.000,33.000,95.13,-35.13
1762808190.407,48,37,32,-13.000,-2.000,3.000,-20.36,80.36
1762808190.457,59,57,60,-24.000,-22.000,-25.000,-100.00,100.00
1762808190.492,58,56,60,-23.000,-21.000,-25.000,25.61,34.39
1762808190.532,55,50,46,-20.000,-15.000,-11.000,65.89,-5.89
1762808190.578,46,35,25,-11.000,0.000,10.000,100.00,-100.00
1762808190.644,20,11,0,15.000,24.000,35.000,100.00,-100.00
1762808190.689,8,3,0,27.000,32.000,35.000,100.00,-100.00
1762808190.724,4,1,0,31.000,34.000,35.000,100.00,-98.05
1762808190.765,2,1,0,33.000,34.000,35.000,100.00,-48.53
1762808190.798,1,0,0,34.000,35.000,35.000,95.52,-35.52
1762808190.832,0,0,0,35.000,35.000,35.000,95.25,-35.25
1762808190.872,0,0,0,35.000,35.000,35.000,72.00,-12.00
1762808190.906,0,0,0,35.000,35.000,35.000,72.00,-12.00
1762808190.944,0,1,0,35.000,34.000,35.000,72.00,-12.00
1762808190.984,0,1,0,35.000,34.000,35.000,72.00,-12.00
1762808191.019,0,0,0,35.000,35.000,35.000,72.00,-12.00
1762808191.054,0,0,0,35.000,35.000,35.000,72.00,-12.00
1762808191.089,0,0,0,35.000,35.000,35.000,72.00,-12.00
1762808191.126,1,0,0,34.000,35.000,35.000,49.34,10.66
1762808191.172,1,0,0,34.000,35.000,35.000,70.80,-10.80
1762808191.221,1,0,0,34.000,35.000,35.000,70.80,-10.80
1762808191.259,1,1,0,34.000,34.000,35.000,70.80,-10.80
1762808191.298,1,1,0,34.000,34.000,35.000,70.80,-10.80
1762808191.397,0,1,0,35.000,34.000,35.000,80.08,-20.08
1762808191.472,0,1,0,35.000,34.000,35.000,72.00,-12.00
1762808191.538,0,1,0,35.000,34.000,35.000,72.00,-12.00
1762808191.608,0,1,1,35.000,34.000,34.000,72.00,-12.00
1762808191.692,1,1,2,34.000,34.000,33.000,61.24,-1.24
1762808191.748,1,1,0,34.000,34.000,35.000,70.80,-10.80
1762808191.812,1,1,1,34.000,34.000,34.000,70.80,-10.80
1762808191.876,1,1,1,34.000,34.000,34.000,70.80,-10.80
1762808191.944,2,1,1,33.000,34.000,34.000,57.79,2.21
1762808192.002,2,2,1,33.000,33.000,34.000,69.60,-9.60
1762808192.052,4,2,3,31.000,33.000,32.000,35.58,24.42
1762808192.094,5,3,2,30.000,32.000,33.000,46.62,13.38
1762808192.135,7,4,2,28.000,31.000,33.000,25.22,34.78
1762808192.170,9,5,3,26.000,30.000,32.000,15.74,44.26
1762808192.211,10,6,3,25.000,29.000,32.000,40.35,19.65
1762808192.246,10,5,3,25.000,30.000,32.000,60.00,0.00
1762808192.282,10,7,3,25.000,28.000,32.000,60.00,0.00
1762808192.321,10,5,3,25.000,30.000,32.000,60.00,0.00
1762808192.357,9,5,3,26.000,30.000,32.000,83.11,-23.11
1762808192.398,7,4,2,28.000,31.000,33.000,100.00,-42.56
1762808192.435,6,3,2,29.000,32.000,33.000,86.50,-26.50
1762808192.478,5,3,2,30.000,32.000,33.000,84.76,-24.76
1762808192.515,4,2,1,31.000,33.000,34.000,88.52,-28.52
1762808192.552,3,3,1,32.000,32.000,34.000,90.05,-30.05
1762808192.593,3,2,1,32.000,33.000,34.000,68.40,-8.40
1762808192.632,1,2,1,34.000,33.000,34.000,100.00,-51.57
1762808192.672,3,2,1,32.000,33.000,34.000,28.46,31.54
1762808192.721,3,2,1,32.000,33.000,34.000,68.40,-8.40
1762808192.767,3,2,1,32.000,33.000,34.000,68.40,-8.40
1762808192.806,3,2,1,32.000,33.000,34.000,68.40,-8.40
1762808192.843,3,2,1,32.000,33.000,34.000,68.40,-8.40
1762808192.896,1,0,1,34.000,35.000,34.000,100.00,-40.83
1762808192.936,0,0,0,35.000,35.000,35.000,92.17,-32.17
1762808192.972,0,0,0,35.000,35.000,35.000,72.00,-12.00
1762808193.006,0,0,0,35.000,35.000,35.000,72.00,-12.00
